Age,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
243,0.1023,8.6102,0.10882,6.115,6.662,7.001,7.187,7.482,7.687,7.999,8.61,9.263,9.632,9.889,10.281,10.543,11.055,11.984
244,0.1019,8.62,0.10882,6.122,6.67,7.009,7.195,7.49,7.696,8.008,8.62,9.274,9.643,9.9,10.293,10.556,11.068,11.998
245,0.1015,8.6299,0.10882,6.129,6.678,7.018,7.204,7.499,7.704,8.017,8.63,9.285,9.654,9.912,10.305,10.568,11.081,12.012
246,0.1012,8.6397,0.10881,6.137,6.685,7.026,7.212,7.508,7.713,8.026,8.64,9.295,9.665,9.923,10.316,10.58,11.093,12.025
247,0.1008,8.6494,0.10881,6.144,6.693,7.034,7.22,7.516,7.722,8.035,8.649,9.306,9.676,9.934,10.328,10.592,11.106,12.039
248,0.1005,8.6592,0.10881,6.151,6.701,7.042,7.228,7.525,7.731,8.044,8.659,9.316,9.687,9.945,10.34,10.604,11.118,12.053
249,0.1001,8.6689,0.10881,6.158,6.708,7.05,7.237,7.533,7.739,8.053,8.669,9.327,9.698,9.956,10.352,10.616,11.131,12.067
250,0.0998,8.6785,0.10881,6.165,6.716,7.057,7.245,7.542,7.748,8.062,8.679,9.337,9.708,9.968,10.363,10.627,11.143,12.08
251,0.0994,8.6882,0.1088,6.172,6.724,7.066,7.253,7.55,7.757,8.071,8.688,9.347,9.719,9.979,10.375,10.639,11.156,12.094
252,0.0991,8.6978,0.1088,6.179,6.731,7.073,7.261,7.558,7.765,8.08,8.698,9.358,9.73,9.99,10.386,10.651,11.168,12.107
253,0.0987,8.7073,0.1088,6.186,6.739,7.081,7.269,7.567,7.774,8.089,8.707,9.368,9.741,10.001,10.397,10.663,11.18,12.121
254,0.0984,8.7169,0.1088,6.193,6.746,7.089,7.277,7.575,7.782,8.098,8.717,9.378,9.751,10.012,10.409,10.675,11.193,12.134
255,0.0981,8.7264,0.1088,6.199,6.753,7.097,7.285,7.583,7.791,8.107,8.726,9.388,9.762,10.023,10.42,10.686,11.205,12.148
256,0.0977,8.7359,0.1088,6.206,6.761,7.105,7.293,7.592,7.799,8.116,8.736,9.399,9.773,10.034,10.432,10.698,11.217,12.161
257,0.0974,8.7453,0.1088,6.213,6.768,7.112,7.301,7.6,7.808,8.124,8.745,9.409,9.783,10.044,10.443,10.71,11.23,12.175
258,0.097,8.7548,0.1088,6.22,6.776,7.12,7.309,7.608,7.816,8.133,8.755,9.419,9.794,10.055,10.454,10.721,11.242,12.188
259,0.0967,8.7642,0.1088,6.227,6.783,7.128,7.317,7.616,7.825,8.142,8.764,9.429,9.804,10.066,10.466,10.733,11.254,12.201
260,0.0963,8.7735,0.1088,6.234,6.79,7.135,7.324,7.624,7.833,8.151,8.774,9.439,9.815,10.077,10.477,10.744,11.266,12.215
261,0.096,8.7829,0.1088,6.24,6.798,7.143,7.332,7.633,7.841,8.159,8.783,9.449,9.825,10.088,10.488,10.756,11.278,12.228
262,0.0957,8.7922,0.1088,6.247,6.805,7.151,7.34,7.641,7.85,8.168,8.792,9.459,9.836,10.098,10.499,10.767,11.29,12.241
263,0.0953,8.8015,0.1088,6.254,6.812,7.158,7.348,7.649,7.858,8.177,8.802,9.469,9.846,10.109,10.51,10.779,11.303,12.254
264,0.095,8.8107,0.1088,6.261,6.819,7.166,7.356,7.657,7.866,8.185,8.811,9.479,9.856,10.12,10.522,10.79,11.314,12.267
265,0.0947,8.82,0.1088,6.267,6.827,7.173,7.363,7.665,7.875,8.194,8.82,9.489,9.867,10.13,10.533,10.802,11.326,12.28
266,0.0943,8.8292,0.1088,6.274,6.834,7.181,7.371,7.673,7.883,8.202,8.829,9.499,9.877,10.141,10.544,10.813,11.338,12.293
267,0.094,8.8384,0.1088,6.281,6.841,7.188,7.379,7.681,7.891,8.211,8.838,9.509,9.888,10.152,10.555,10.824,11.35,12.306
268,0.0937,8.8475,0.1088,6.287,6.848,7.196,7.387,7.689,7.899,8.219,8.848,9.519,9.898,10.162,10.566,10.836,11.362,12.319
269,0.0933,8.8567,0.1088,6.294,6.855,7.203,7.394,7.697,7.908,8.228,8.857,9.529,9.908,10.173,10.577,10.847,11.374,12.332
270,0.093,8.8658,0.1088,6.3,6.862,7.211,7.402,7.705,7.916,8.236,8.866,9.539,9.918,10.183,10.588,10.858,11.386,12.345
271,0.0927,8.8748,0.1088,6.307,6.87,7.218,7.409,7.713,7.924,8.245,8.875,9.548,9.928,10.194,10.598,10.869,11.398,12.358
272,0.0923,8.8839,0.10881,6.313,6.876,7.226,7.417,7.721,7.932,8.253,8.884,9.558,9.939,10.204,10.61,10.881,11.41,12.371
273,0.092,8.8929,0.10881,6.32,6.884,7.233,7.425,7.728,7.94,8.262,8.893,9.568,9.949,10.215,10.62,10.892,11.421,12.384
274,0.0917,8.9019,0.10881,6.326,6.891,7.24,7.432,7.736,7.948,8.27,8.902,9.577,9.959,10.225,10.631,10.903,11.433,12.397
275,0.0913,8.9109,0.10881,6.333,6.898,7.248,7.44,7.744,7.956,8.278,8.911,9.587,9.969,10.235,10.642,10.914,11.445,12.41
276,0.091,8.9199,0.10881,6.339,6.905,7.255,7.447,7.752,7.964,8.287,8.92,9.597,9.979,10.246,10.653,10.925,11.456,12.422
277,0.0907,8.9288,0.10882,6.346,6.911,7.262,7.455,7.76,7.972,8.295,8.929,9.606,9.989,10.256,10.664,10.936,11.468,12.435
278,0.0904,8.9377,0.10882,6.352,6.918,7.27,7.462,7.767,7.98,8.303,8.938,9.616,9.999,10.266,10.674,10.947,11.48,12.448
279,0.09,8.9466,0.10882,6.359,6.925,7.277,7.469,7.775,7.988,8.311,8.947,9.626,10.009,10.277,10.685,10.958,11.491,12.461
280,0.0897,8.9555,0.10882,6.365,6.932,7.284,7.477,7.783,7.996,8.32,8.956,9.635,10.019,10.287,10.696,10.969,11.503,12.473
281,0.0894,8.9643,0.10882,6.371,6.939,7.291,7.484,7.791,8.004,8.328,8.964,9.645,10.029,10.297,10.706,10.98,11.514,12.486
282,0.0891,8.9731,0.10883,6.378,6.946,7.298,7.492,7.798,8.011,8.336,8.973,9.654,10.039,10.307,10.717,10.991,11.526,12.498
283,0.0887,8.9819,0.10883,6.384,6.953,7.306,7.499,7.806,8.019,8.344,8.982,9.664,10.049,10.317,10.728,11.002,11.537,12.511
284,0.0884,8.9907,0.10883,6.39,6.96,7.313,7.506,7.813,8.027,8.352,8.991,9.673,10.059,10.327,10.738,11.013,11.549,12.523
285,0.0881,8.9995,0.10884,6.396,6.966,7.32,7.514,7.821,8.035,8.361,9.0,9.683,10.069,10.338,10.749,11.024,11.56,12.536
286,0.0878,9.0082,0.10884,6.403,6.973,7.327,7.521,7.829,8.043,8.369,9.008,9.692,10.078,10.348,10.759,11.034,11.572,12.549
287,0.0875,9.0169,0.10884,6.409,6.98,7.334,7.528,7.836,8.051,8.377,9.017,9.701,10.088,10.358,10.77,11.045,11.583,12.561
288,0.0871,9.0256,0.10884,6.415,6.987,7.341,7.536,7.844,8.058,8.385,9.026,9.711,10.098,10.368,10.78,11.056,11.594,12.573
289,0.0868,9.0342,0.10885,6.421,6.993,7.348,7.543,7.851,8.066,8.393,9.034,9.72,10.108,10.378,10.791,11.067,11.606,12.586
290,0.0865,9.0429,0.10885,6.428,7.0,7.355,7.55,7.859,8.074,8.401,9.043,9.73,10.117,10.388,10.801,11.077,11.617,12.598
291,0.0862,9.0515,0.10885,6.434,7.007,7.362,7.557,7.866,8.081,8.409,9.052,9.739,10.127,10.398,10.811,11.088,11.628,12.61
292,0.0859,9.0601,0.10886,6.44,7.014,7.369,7.564,7.874,8.089,8.417,9.06,9.748,10.137,10.408,10.822,11.099,11.64,12.623
293,0.0856,9.0687,0.10886,6.446,7.02,7.376,7.571,7.881,8.097,8.425,9.069,9.757,10.146,10.418,10.832,11.109,11.651,12.635
294,0.0852,9.0772,0.10887,6.452,7.027,7.383,7.578,7.889,8.104,8.433,9.077,9.767,10.156,10.428,10.843,11.12,11.662,12.648
295,0.0849,9.0858,0.10887,6.458,7.033,7.39,7.586,7.896,8.112,8.441,9.086,9.776,10.166,10.438,10.853,11.131,11.673,12.66
296,0.0846,9.0943,0.10887,6.465,7.04,7.397,7.593,7.903,8.12,8.448,9.094,9.785,10.175,10.447,10.863,11.141,11.684,12.672
297,0.0843,9.1028,0.10888,6.471,7.047,7.404,7.6,7.911,8.127,8.456,9.103,9.794,10.185,10.457,10.874,11.152,11.696,12.684
298,0.084,9.1113,0.10888,6.477,7.053,7.411,7.607,7.918,8.135,8.464,9.111,9.803,10.194,10.467,10.884,11.162,11.707,12.696
299,0.0837,9.1198,0.10888,6.483,7.06,7.418,7.614,7.926,8.142,8.472,9.12,9.813,10.204,10.477,10.894,11.173,11.718,12.708
300,0.0834,9.1282,0.10889,6.489,7.066,7.425,7.621,7.933,8.15,8.48,9.128,9.822,10.213,10.487,10.904,11.183,11.729,12.721
301,0.0831,9.1366,0.10889,6.495,7.073,7.431,7.628,7.94,8.157,8.488,9.137,9.831,10.223,10.496,10.914,11.194,11.74,12.733
302,0.0827,9.145,0.1089,6.501,7.079,7.438,7.635,7.947,8.165,8.495,9.145,9.84,10.232,10.506,10.925,11.204,11.751,12.745
303,0.0824,9.1534,0.1089,6.507,7.086,7.445,7.642,7.955,8.172,8.503,9.153,9.849,10.242,10.516,10.935,11.215,11.762,12.757
304,0.0821,9.1618,0.1089,6.513,7.092,7.452,7.649,7.962,8.18,8.511,9.162,9.858,10.251,10.526,10.945,11.225,11.773,12.769
305,0.0818,9.1701,0.10891,6.519,7.099,7.459,7.656,7.969,8.187,8.519,9.17,9.867,10.261,10.535,10.955,11.236,11.784,12.781
306,0.0815,9.1785,0.10891,6.525,7.105,7.466,7.663,7.976,8.195,8.527,9.179,9.876,10.27,10.545,10.965,11.246,11.795,12.793
307,0.0812,9.1868,0.10892,6.531,7.112,7.472,7.67,7.984,8.202,8.534,9.187,9.885,10.279,10.555,10.975,11.256,11.806,12.805
308,0.0809,9.1951,0.10892,6.537,7.118,7.479,7.677,7.991,8.209,8.542,9.195,9.894,10.289,10.564,10.985,11.267,11.816,12.817
309,0.0806,9.2034,0.10893,6.542,7.125,7.486,7.684,7.998,8.217,8.55,9.203,9.903,10.298,10.574,10.995,11.277,11.828,12.829
310,0.0803,9.2117,0.10893,6.548,7.131,7.492,7.691,8.005,8.224,8.557,9.212,9.912,10.307,10.584,11.005,11.287,11.838,12.841
