Age,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
101,1,40.8936,0.02899,37.23,38.136,38.664,38.944,39.374,39.665,40.094,40.894,41.693,42.122,42.413,42.844,43.123,43.651,44.557
102,1,40.9315,0.02898,37.266,38.172,38.701,38.98,39.411,39.702,40.131,40.932,41.732,42.161,42.452,42.883,43.162,43.691,44.597
103,1,40.9691,0.02896,37.303,38.209,38.738,39.018,39.449,39.739,40.169,40.969,41.769,42.199,42.49,42.921,43.201,43.729,44.636
104,1,41.0065,0.02894,37.339,38.246,38.775,39.055,39.486,39.777,40.206,41.007,41.807,42.236,42.527,42.958,43.238,43.767,44.674
105,1,41.0436,0.02893,37.374,38.281,38.81,39.091,39.522,39.813,40.243,41.044,41.844,42.274,42.565,42.997,43.277,43.806,44.713
106,1,41.0805,0.02891,37.41,38.318,38.847,39.127,39.558,39.85,40.279,41.081,41.882,42.311,42.603,43.034,43.314,43.843,44.751
107,1,41.1172,0.02889,37.446,38.354,38.883,39.163,39.595,39.886,40.316,41.117,41.918,42.348,42.64,43.071,43.351,43.881,44.788
108,1,41.1536,0.02888,37.481,38.389,38.918,39.199,39.63,39.922,40.352,41.154,41.955,42.385,42.677,43.109,43.389,43.919,44.826
109,1,41.1898,0.02886,37.516,38.424,38.954,39.235,39.666,39.958,40.388,41.19,41.992,42.422,42.713,43.145,43.426,43.955,44.863
110,1,41.2257,0.02885,37.55,38.459,38.989,39.269,39.701,39.993,40.423,41.226,42.028,42.458,42.75,43.182,43.463,43.993,44.901
111,1,41.2615,0.02883,37.585,38.494,39.024,39.305,39.737,40.029,40.459,41.262,42.064,42.494,42.786,43.218,43.499,44.029,44.938
112,1,41.297,0.02882,37.619,38.528,39.059,39.339,39.772,40.063,40.494,41.297,42.1,42.531,42.822,43.255,43.535,44.066,44.975
113,1,41.3323,0.0288,37.654,38.563,39.093,39.374,39.807,40.099,40.529,41.332,42.135,42.566,42.858,43.29,43.571,44.102,45.011
114,1,41.3673,0.02879,37.687,38.597,39.127,39.408,39.841,40.133,40.564,41.367,42.171,42.602,42.894,43.326,43.607,44.138,45.048
115,1,41.4022,0.02877,37.721,38.631,39.162,39.443,39.876,40.168,40.599,41.402,42.206,42.637,42.929,43.361,43.642,44.173,45.083
116,1,41.4368,0.02876,37.754,38.664,39.195,39.477,39.91,40.202,40.633,41.437,42.241,42.672,42.964,43.397,43.678,44.209,45.119
